date,temp,rain,pressure,wind_speed,humidity
01-Jan-00,5.55,0.4,1004,3.7,9
02-Jan-00,7.85,4.3,997.5,10.5,24
03-Jan-00,6.95,0.6,995.2,5,17
04-Jan-00,5.1,2.6,988.9,12.2,24
05-Jan-00,8,6,981.2,22.8,29
06-Jan-00,6.65,0.1,987.5,9.3,21
07-Jan-00,6.75,2.6,988.2,19.8,32
08-Jan-00,3.6,0,996.3,8.9,17
09-Jan-00,4.2,0.9,1006.9,5.4,11
10-Jan-00,7.5,3.2,1008,13.3,23
11-Jan-00,9.05,10.3,1003.2,18.2,26
12-Jan-00,5.5,16.7,997.6,6.5,25
13-Jan-00,3.45,0.2,1001.8,14.9,22
14-Jan-00,2.6,0,1011.2,13.2,21
15-Jan-00,1.75,0,1020.4,11.3,16
16-Jan-00,1.75,0,1024.4,6.8,12
17-Jan-00,5.25,0,1022.2,7.6,14
18-Jan-00,5.65,0,1019.8,6,10
19-Jan-00,2.55,0.1,1019.8,2,6
20-Jan-00,4.25,0,1018,4,9
21-Jan-00,5.75,0,1017.9,6.6,11
22-Jan-00,6.3,0,1013.1,13.5,21
23-Jan-00,4.15,0,1010.2,5.5,12
24-Jan-00,5.45,0,1008.9,6.3,12
25-Jan-00,3.1,0,1009.7,4.1,7
26-Jan-00,2.2,0,1011.3,2.9,7
27-Jan-00,2.3,0,1008.1,4.5,12
28-Jan-00,7.7,1.4,994.1,14.7,24
29-Jan-00,11,0,987.6,19.2,29
30-Jan-00,10.8,0.7,994.8,17.9,23
31-Jan-00,9.75,0.1,996.7,16.2,22
01-Feb-00,7.75,6,993.7,12.4,21
02-Feb-00,7,0,1005.2,8.1,19
03-Feb-00,7.7,3.2,1010.3,10.2,17
04-Feb-00,9.4,1.3,1006.8,14.5,19
05-Feb-00,8.7,5.2,1000.6,12.9,19
06-Feb-00,7,2.6,990.8,15.2,28
07-Feb-00,7.6,5.8,986.9,15.5,29
08-Feb-00,7.9,4.5,988.2,20.3,34
09-Feb-00,7.6,3.4,992.2,17.9,31
10-Feb-00,6.1,9.6,992.4,14.3,31
11-Feb-00,7,5.3,999,15.7,31
12-Feb-00,5.85,3.1,995.2,13.3,25
13-Feb-00,5.85,0.1,1000.2,4.1,13
14-Feb-00,7.9,5.4,997.9,11.5,18
15-Feb-00,3.4,4.9,994.6,11.9,26
16-Feb-00,3.3,4.5,990.2,12.4,29
17-Feb-00,8.6,1,991.8,10,20
18-Feb-00,7.8,0.1,989.5,17.4,26
19-Feb-00,6.2,0,999.5,7.5,17
20-Feb-00,6.35,8.9,1003.2,10.9,20
21-Feb-00,4.75,0.4,1004.7,7.3,17
22-Feb-00,8.8,7.3,997.6,8.8,17
23-Feb-00,8.9,0.5,998.5,10.9,19
24-Feb-00,4.8,3.2,1001.4,5.8,11
25-Feb-00,5.35,0.4,1007,6.4,15
26-Feb-00,6.8,4.9,999,15,26
27-Feb-00,6.65,12.3,987.1,15.3,29
28-Feb-00,5.25,4.8,985.8,12.7,20
29-Feb-00,7.05,3.3,981.5,11.2,19
01-Mar-00,6.15,0,996.2,10.8,20
02-Mar-00,8.05,0.9,994.2,16.2,22
03-Mar-00,6.6,5.3,995.3,13.2,24
04-Mar-00,4.55,0,1009.8,4.8,10
05-Mar-00,5.35,0.4,1009.7,7.1,15
06-Mar-00,10.95,0.2,1005.2,10,16
07-Mar-00,11.25,0.3,1003,14.2,22
08-Mar-00,13,0.5,1004.4,16.2,24
09-Mar-00,10.65,0,1009.6,9.1,18
10-Mar-00,9.9,0,1009.2,7.9,17
11-Mar-00,7.9,0,1006.8,8,15
12-Mar-00,9.05,0,1008.3,4.2,9
13-Mar-00,11.35,0,1009.1,5.5,12
14-Mar-00,7.45,0,1012,10.7,21
15-Mar-00,6.3,0,1017.9,4.6,8
16-Mar-00,8.85,0,1017.3,2.3,6
17-Mar-00,8.6,0,1017.5,3.1,7
18-Mar-00,9.3,0,1019.1,3.6,8
19-Mar-00,10.85,0,1017.7,4,8
20-Mar-00,8.65,0,1011.2,4,8
21-Mar-00,8.15,0,1002.8,2.3,7
22-Mar-00,8.15,0,995.5,3.6,7
23-Mar-00,7.35,6,985.5,8.3,17
24-Mar-00,5.6,3.2,981.6,8.5,17
25-Mar-00,4.6,2.8,987.4,8.7,19
26-Mar-00,7.85,0.3,993.5,15.2,23
27-Mar-00,6.85,0,1001.8,8.5,15
28-Mar-00,6.1,0,1006.3,7.5,12
29-Mar-00,5.75,0,1003.5,7.1,13
30-Mar-00,5.85,0,997.8,4.8,9
31-Mar-00,6.9,0.3,987,3,8
01-Apr-00,8.35,4.7,977.4,4,11
02-Apr-00,4.5,0.1,977.3,10,20
03-Apr-00,3.75,0,982.2,22,31
04-Apr-00,2.95,0,991.4,10.2,19
05-Apr-00,3.8,0,1000.8,7.1,14
06-Apr-00,6.95,0,1008.1,10.2,18
07-Apr-00,6.8,0,1010,5.8,9
08-Apr-00,7.25,0,1004.5,3.9,9
09-Apr-00,8.55,0,999.3,10.6,18
10-Apr-00,6.95,0,995.6,9.3,14
11-Apr-00,5,5.5,981.8,13.8,23
12-Apr-00,5,0.1,973.5,9.9,15
13-Apr-00,6.1,0,979.5,10.8,16
14-Apr-00,7,0,983,9.1,15
15-Apr-00,4.7,2.4,977,8.2,20
16-Apr-00,6.2,8.6,969.8,9.6,17
17-Apr-00,6.85,7.6,971.9,4.9,10
18-Apr-00,6.85,0,978.6,5.7,11
19-Apr-00,7.45,6.4,977.4,13.4,25
20-Apr-00,9.45,3.5,972.4,18.1,25
21-Apr-00,10.15,1.6,977.6,15,21
22-Apr-00,10.25,0.6,982,12.4,21
23-Apr-00,10.1,1.4,984.3,9.4,16
24-Apr-00,9.85,3.7,982.9,10.7,17
25-Apr-00,7.8,3.8,983.3,16.1,21
26-Apr-00,7.05,0,984.8,14.1,20
27-Apr-00,7.5,0,987.2,7.8,12
28-Apr-00,8.8,0,989.3,5,11
29-Apr-00,9.85,0,994.2,7.1,11
30-Apr-00,11.75,0.2,999.9,9,12
01-May-00,13.1,0,1004.8,6.5,11
02-May-00,13.75,0,1007.8,4.6,10
03-May-00,13.6,0,1006.9,7.2,13
04-May-00,9.6,0,1003.7,9.4,14
05-May-00,11.6,0,997.5,8,14
06-May-00,14.85,0,994.5,6.2,13
07-May-00,15.9,1,996.5,7.4,14
08-May-00,15.5,0,998.2,5,11
09-May-00,15.3,0,999.5,3.7,7
10-May-00,16.25,0,999.8,7.4,12
11-May-00,14,0.1,998,15.3,21
12-May-00,10.5,3.6,997.2,13.9,22
13-May-00,12.15,1.2,998.8,13.6,19
14-May-00,13.1,3.3,998.2,10.4,15
15-May-00,12.85,1,992.8,11.5,16
