date,temp,rain,pressure,wind_speed,humidity
01-Jan-00,4,4,982.6,24.2,35
02-Jan-00,8.25,1.9,979.2,19.2,32
03-Jan-00,6.1,11.9,983.3,11.1,17
04-Jan-00,5,4.4,972.7,17.7,27
05-Jan-00,8.2,0.2,983.2,14.5,23
06-Jan-00,6.1,0,989.9,10.6,16
07-Jan-00,7.55,0.1,997.6,11,17
08-Jan-00,3.35,0,1012.5,9,13
09-Jan-00,2.85,1.3,1007.8,14.6,28
10-Jan-00,6.1,3.5,997.9,12,29
11-Jan-00,5.85,0.2,1004.5,4.7,13
12-Jan-00,3.6,0,1013.3,5.9,9
13-Jan-00,3.1,6.7,1007.3,11.5,27
14-Jan-00,2.7,1.1,1000.2,11.5,26
15-Jan-00,1.95,4.3,992.8,14.3,22
16-Jan-00,4.75,3.5,986.3,21.4,33
17-Jan-00,6.75,8.9,964.8,19.2,49
18-Jan-00,4.3,5.3,968.8,18.8,26
19-Jan-00,5.3,3.2,973.9,17.2,27
20-Jan-00,3.6,0,981.8,11.5,18
21-Jan-00,3.75,0.1,994,10.3,13
22-Jan-00,5.65,0.1,1007.3,9.2,12
23-Jan-00,3.9,8.7,1003.8,10.6,18
24-Jan-00,3.2,0.6,1006.5,8.5,17
25-Jan-00,-0.6,0.1,1012,7.6,16
26-Jan-00,-0.35,0.3,1004.8,12,23
27-Jan-00,1.9,0.3,1000.9,10.9,30
28-Jan-00,7.1,4.3,996.8,13.7,24
29-Jan-00,9.5,0.1,990,21.4,30
30-Jan-00,9.6,0,993.3,15.7,30
31-Jan-00,9.8,1.3,994,21.7,31
01-Feb-00,6.75,0,1001.3,16.4,23
02-Feb-00,5.75,0.1,1013.9,9.8,16
03-Feb-00,7.3,0.5,1015.8,13.9,22
04-Feb-00,11.5,7.6,1011.2,8.2,25
05-Feb-00,8.85,14.2,1006.5,6,13
06-Feb-00,7.45,2,1009.7,11.2,19
07-Feb-00,7.5,0.1,1021.5,10.9,17
08-Feb-00,6.05,0,1031.1,6,11
09-Feb-00,6.9,0,1033.4,6.1,10
10-Feb-00,6.25,0,1031.4,7.2,12
11-Feb-00,6.55,0,1029.8,6,10
12-Feb-00,4,0,1028.7,3.2,6
13-Feb-00,4.1,0.1,1026.1,8.1,13
14-Feb-00,6.4,0,1024.4,7.9,14
15-Feb-00,3.25,0.5,1018.5,13.4,23
16-Feb-00,2.25,0,1019,5.8,11
17-Feb-00,5.15,0.3,1017.3,5.7,10
18-Feb-00,7.5,0.1,1019.8,5.4,9
19-Feb-00,4.55,0.1,1021.5,4.8,10
20-Feb-00,4.55,0.1,1015.4,10.4,16
21-Feb-00,4.3,1,997.4,20.7,31
22-Feb-00,5.15,0.9,989.3,25.6,36
23-Feb-00,9.2,2.7,997.7,23.6,35
24-Feb-00,4.6,3.4,1002.3,15,28
25-Feb-00,4.75,1.4,1000.3,12.9,22
26-Feb-00,7.1,0,1012.1,14.2,23
27-Feb-00,8.2,1.6,1017.3,10.6,20
28-Feb-00,5.2,0,1013.2,15.4,21
29-Feb-00,5.3,1.4,1007.8,13.8,21
01-Mar-00,4.85,0.5,995.8,16.8,38
02-Mar-00,7.55,2.3,992.2,21.2,31
03-Mar-00,4.1,4.4,991.8,22,39
04-Mar-00,3.1,0.1,1000,18.9,27
05-Mar-00,4.2,5.3,998.1,20.5,32
06-Mar-00,11.8,3,1004.7,18.9,32
07-Mar-00,11.65,1.3,1000.1,16.2,23
08-Mar-00,12.8,0,1008,8,17
09-Mar-00,11.3,6.1,1005,12.4,24
10-Mar-00,10.2,2.3,999.6,14.3,23
11-Mar-00,7.45,1.4,995.2,18,27
12-Mar-00,7.1,2.3,996.8,12.8,26
13-Mar-00,11.55,0.6,993.2,18.6,29
14-Mar-00,6.15,0,1007,7.7,17
15-Mar-00,5.75,1.8,1012.7,8.8,18
16-Mar-00,8.55,0,1013.5,8.6,19
17-Mar-00,8.9,0.1,1008.6,10,18
18-Mar-00,10.2,0.8,1004,13.7,25
19-Mar-00,10.5,0.7,1008.2,12.4,20
20-Mar-00,8,0.1,1013.7,11.4,20
21-Mar-00,8,0.2,1007.3,13.3,23
22-Mar-00,5.6,4.1,994.3,15.7,25
23-Mar-00,6.35,1.2,992.8,18,27
24-Mar-00,6.45,3.1,988.7,9.2,21
25-Mar-00,5.45,0.1,1002,11.9,19
26-Mar-00,6.35,8.4,998.7,22.1,34
27-Mar-00,5.6,0.1,1001.8,13.1,20
28-Mar-00,4.15,0,1017.7,9,14
29-Mar-00,4.35,0,1017,12.9,22
30-Mar-00,2.5,0,1011,16.5,26
31-Mar-00,4.5,3.1,1007.7,18.3,24
01-Apr-00,5.45,1,1007.2,24.7,29
02-Apr-00,4.75,0.1,1013.8,18.5,32
03-Apr-00,4,0,1014.9,16.3,23
04-Apr-00,3,0,1014.5,10,19
05-Apr-00,2.8,0.2,1016.2,9.8,18
06-Apr-00,4.1,0.1,1015.1,15.1,25
07-Apr-00,5.8,0.8,1019,12.8,22
08-Apr-00,7.6,0,1025.6,9.7,17
09-Apr-00,6.6,0,1025.9,5.7,9
10-Apr-00,7.35,0,1026.2,7,12
11-Apr-00,5.15,1.6,1028.1,3.7,9
12-Apr-00,4.55,0,1026.7,5.5,9
13-Apr-00,6,0,1020.3,4.8,7
14-Apr-00,3.95,0,1011.9,4.2,8
15-Apr-00,4.05,0.1,1005.8,5.8,11
16-Apr-00,7.4,0.3,996.6,8.3,14
