date,temp,rain,pressure,wind_speed,humidity
01-Jan-00,4,0.1,1012,7.6,
02-Jan-00,8.25,0.3,1004.8,12,
03-Jan-00,6.1,0.3,1000.9,10.9,
04-Jan-00,5,4.3,996.8,13.7,
05-Jan-00,8.2,0.1,990,21.4,
06-Jan-00,6.1,0,993.3,15.7,
07-Jan-00,7.55,1.3,994,21.7,
08-Jan-00,3.35,0,1001.3,16.4,
09-Jan-00,2.85,0.1,1013.9,9.8,
10-Jan-00,6.1,0.5,1015.8,13.9,
11-Jan-00,5.85,7.6,1011.2,8.2,
12-Jan-00,3.6,14.2,1006.5,6,
13-Jan-00,3.1,2,1009.7,11.2,
14-Jan-00,2.7,0.1,1021.5,10.9,
15-Jan-00,1.95,0,1031.1,6,
16-Jan-00,4.75,0,1033.4,6.1,
17-Jan-00,6.75,0,1031.4,7.2,
18-Jan-00,4.3,0,1029.8,6,
19-Jan-00,5.3,0,1028.7,3.2,
20-Jan-00,3.6,0.1,1026.1,8.1,
21-Jan-00,3.75,0,1024.4,7.9,
22-Jan-00,5.65,0.5,1018.5,13.4,
23-Jan-00,3.9,0,1019,5.8,
24-Jan-00,3.2,0.3,1017.3,5.7,
25-Jan-00,-0.6,0.1,1019.8,5.4,
26-Jan-00,-0.35,0.1,1021.5,4.8,
27-Jan-00,1.9,0.1,1015.4,10.4,
28-Jan-00,7.1,1,997.4,20.7,
29-Jan-00,9.5,0.9,989.3,25.6,
30-Jan-00,9.6,2.7,997.7,23.6,
31-Jan-00,9.8,3.4,1002.3,15,
01-Feb-00,6.75,1.4,1000.3,12.9,
02-Feb-00,5.75,0,1012.1,14.2,
03-Feb-00,7.3,1.6,1017.3,10.6,
04-Feb-00,11.5,0,1013.2,15.4,
05-Feb-00,8.85,1.4,1007.8,13.8,
06-Feb-00,7.45,0.5,995.8,16.8,
07-Feb-00,7.5,2.3,992.2,21.2,
08-Feb-00,6.05,4.4,991.8,22,
09-Feb-00,6.9,0.1,1000,18.9,
10-Feb-00,6.25,5.3,998.1,20.5,
11-Feb-00,6.55,3,1004.7,18.9,
12-Feb-00,4,1.3,1000.1,16.2,
13-Feb-00,4.1,0,1008,8,
14-Feb-00,6.4,6.1,1005,12.4,
15-Feb-00,3.25,2.3,999.6,14.3,
16-Feb-00,2.25,1.4,995.2,18,
17-Feb-00,5.15,2.3,996.8,12.8,
18-Feb-00,7.5,0.6,993.2,18.6,
19-Feb-00,4.55,0,1007,7.7,
20-Feb-00,4.55,1.8,1012.7,8.8,
21-Feb-00,4.3,0,1013.5,8.6,
22-Feb-00,5.15,0.1,1008.6,10,
23-Feb-00,9.2,0.8,1004,13.7,
24-Feb-00,4.6,0.7,1008.2,12.4,
25-Feb-00,4.75,0.1,1013.7,11.4,
26-Feb-00,7.1,0.2,1007.3,13.3,
27-Feb-00,8.2,4.1,994.3,15.7,
28-Feb-00,5.2,1.2,992.8,18,
29-Feb-00,5.3,3.1,988.7,9.2,
01-Mar-00,4.85,0.1,1002,11.9,
02-Mar-00,7.55,8.4,998.7,22.1,
03-Mar-00,4.1,0.1,1001.8,13.1,
04-Mar-00,3.1,0,1017.7,9,
05-Mar-00,4.2,0,1017,12.9,
06-Mar-00,11.8,0,1011,16.5,
07-Mar-00,11.65,3.1,1007.7,18.3,
08-Mar-00,12.8,1,1007.2,24.7,
09-Mar-00,11.3,0.1,1013.8,18.5,
10-Mar-00,10.2,0,1014.9,16.3,
11-Mar-00,7.45,0,1014.5,10,
12-Mar-00,7.1,0.2,1016.2,9.8,
13-Mar-00,11.55,0.1,1015.1,15.1,
14-Mar-00,6.15,0.8,1019,12.8,
15-Mar-00,5.75,0,1025.6,9.7,
16-Mar-00,8.55,0,1025.9,5.7,
17-Mar-00,8.9,0,1026.2,7,
18-Mar-00,10.2,1.6,1028.1,3.7,
19-Mar-00,10.5,0,1026.7,5.5,
20-Mar-00,8,0,1020.3,4.8,
21-Mar-00,8,0,1011.9,4.2,
22-Mar-00,5.6,0.1,1005.8,5.8,
23-Mar-00,6.35,0.3,996.6,8.3,
24-Mar-00,6.45,2.1,990.6,9.8,
25-Mar-00,5.45,1.2,994.5,9.2,
26-Mar-00,6.35,1.5,1000.5,12.5,
27-Mar-00,5.6,0.1,1011.3,8.7,
28-Mar-00,4.15,0,1017.1,7.2,
29-Mar-00,4.35,0,1014.2,8.7,
30-Mar-00,2.5,0,1007.4,4.5,
31-Mar-00,4.5,0.2,996.5,3.2,
01-Apr-00,5.45,5.5,987.5,6.5,
02-Apr-00,4.75,6.6,987.9,7.3,
03-Apr-00,4,5,992.5,22.7,
04-Apr-00,3,0,1000.6,11.8,
05-Apr-00,2.8,0,1010.9,4.5,
06-Apr-00,4.1,0,1019,7.2,
07-Apr-00,5.8,0,1019.9,7.3,
08-Apr-00,7.6,0,1014,6.5,
09-Apr-00,6.6,0,1010.2,11,
10-Apr-00,7.35,0.2,1003.5,5.8,
11-Apr-00,5.15,7,987.5,11.9,
12-Apr-00,4.55,4.5,981.9,15.1,
13-Apr-00,6,4.2,989.2,13.4,
14-Apr-00,3.95,0,993.2,7.5,
15-Apr-00,4.05,0,987.1,8.2,
16-Apr-00,7.4,8.1,981.6,11.7,
17-Apr-00,4.05,1.8,981.4,7,
18-Apr-00,5.85,0,987.9,3.7,
19-Apr-00,5.4,0.2,987.2,13.5,
20-Apr-00,10.3,0.3,983.9,14.2,
21-Apr-00,10.45,1.7,988.7,12,
22-Apr-00,9.65,2.8,993.2,8.8,
23-Apr-00,9.2,5.2,995.1,9,
24-Apr-00,10.8,4.3,994.8,10.2,
25-Apr-00,7.1,15.8,993.2,14.6,
26-Apr-00,7.9,5.6,993.2,8.5,
27-Apr-00,5.85,1,996.6,4.8,
28-Apr-00,7.3,0,999.4,5.1,
29-Apr-00,8.7,9.7,1004.7,4.8,
30-Apr-00,8.15,0,1011,6,
01-May-00,9.7,0,1015.4,4.2,
02-May-00,10.85,0,1018,4.5,
03-May-00,8.65,0,1018.2,5.9,
04-May-00,8.05,0,1014.7,7.2,
05-May-00,7.9,0,1008.7,8.9,
06-May-00,11.2,0,1004.6,7.2,
07-May-00,13.3,0,1006.7,8,
08-May-00,12.95,0,1008.8,6,
09-May-00,12.65,0,1009.3,4.4,
10-May-00,11.1,0,1011.6,9.5,
11-May-00,10.6,2.7,1012.3,13.8,
12-May-00,10.85,0.1,1010.7,10.4,
13-May-00,13.2,0.2,1010.6,8,
14-May-00,13.05,0.2,1008.8,10.4,
15-May-00,15.7,0,1002.9,9.6,
16-May-00,10.2,17.5,994.3,9.2,
17-May-00,9.95,2.9,995.2,14.8,
18-May-00,10.25,0.3,997.3,16.2,
19-May-00,10.15,0,1000,11.3,
20-May-00,9.15,1.7,999.5,8.3,
21-May-00,11.65,1,999.8,11.5,
22-May-00,9.8,1.2,1002.8,8.4,
23-May-00,11.2,4.1,996.5,11.8,
24-May-00,10.5,3.1,999.5,9.2,
25-May-00,8.7,4.2,997.6,9.8,
26-May-00,8.2,0.2,996.5,6.2,
27-May-00,8.5,2.1,991.8,8.7,
28-May-00,8.4,1.7,994.5,8.3,
29-May-00,9.3,5.5,1002.4,7.7,
30-May-00,8.6,0,1004.7,4.3,
31-May-00,9.9,1.5,1001.9,8.9,
01-Jun-00,15.45,1.5,998.1,11.5,
02-Jun-00,12.65,4.5,1003.4,9.3,
03-Jun-00,10.75,5.5,1006.3,9.7,
04-Jun-00,9.45,2.1,1007.3,5.2,
05-Jun-00,10.55,0.3,1009.5,5.2,
06-Jun-00,12.15,0.7,1010.2,12.5,
07-Jun-00,12.15,0.7,1007.9,10.5,
08-Jun-00,11.1,1.9,999.6,10.2,
09-Jun-00,10.4,0.6,1001.1,7,
10-Jun-00,10,1.4,1001.1,12,
11-Jun-00,11.75,0,1003.3,13,
12-Jun-00,18.15,0.4,1006.2,16.8,
13-Jun-00,14.3,0,1009.7,13.5,
14-Jun-00,12.6,3.6,1011.7,3.9,
15-Jun-00,13,0.1,1015.4,6.2,
16-Jun-00,15.45,0,1013.5,11.5,
17-Jun-00,18,0,1010.2,8.5,
18-Jun-00,18.65,0,1007.2,8.8,
19-Jun-00,17.15,0,1000.5,7.2,
20-Jun-00,16.45,0.8,994.7,11.7,
21-Jun-00,14.35,3,988.6,12.7,
22-Jun-00,14.15,3.4,995.8,14.3,
23-Jun-00,11.9,0.4,1007.2,15.8,
24-Jun-00,11.25,0,1011.2,8.8,
25-Jun-00,9.6,0,1013.4,3.7,
26-Jun-00,11.8,0,1015.2,5.1,
27-Jun-00,11.65,0,1013.2,5.4,
28-Jun-00,14,0,1010.7,5.3,
29-Jun-00,15.45,0,1009,6.3,
30-Jun-00,13.85,0,1003.3,8.1,
01-Jul-00,13.8,7.2,998.2,6.4,
02-Jul-00,15.3,0.6,999.2,5.7,
03-Jul-00,14.55,0,999.7,6.1,
04-Jul-00,14,0,999.8,7.6,
05-Jul-00,14.95,0,1004,3.7,
06-Jul-00,13.5,0,1010,7,
07-Jul-00,12.5,0,1013.1,9.5,
08-Jul-00,13.1,0.6,1003.2,14,
09-Jul-00,14.2,5.1,989.2,13.1,
10-Jul-00,12.55,0.1,992.7,16.2,
11-Jul-00,13.3,0,1001.2,11,
12-Jul-00,14.2,3.2,1002.4,8.2,
13-Jul-00,14.7,0.7,1002.1,14.5,
14-Jul-00,12.55,0,1005.2,10.9,
15-Jul-00,12.5,0,1009.4,7,
16-Jul-00,11.95,0,1010.7,4.6,
17-Jul-00,12.7,0,1010.8,4.4,
18-Jul-00,15.2,0,1012.2,3.4,
19-Jul-00,15.6,0,1012.5,7.9,
20-Jul-00,14.65,0,1015.2,3.8,
21-Jul-00,12.6,0,1016.3,5.2,
22-Jul-00,14.85,0,1012.5,8.5,
23-Jul-00,14.55,0,1007.5,11,
24-Jul-00,14.8,0,1002.5,6.3,
25-Jul-00,15.7,0,998.5,5.4,
26-Jul-00,16.6,0.2,998.5,5.9,
27-Jul-00,16.65,5.6,999.9,7.2,
28-Jul-00,17.55,0.9,1002.5,6.9,
29-Jul-00,17.2,9.4,1007.2,6.2,
30-Jul-00,16.3,1.6,1010.2,6.8,
31-Jul-00,18.75,12.8,1005.1,10.7,
01-Aug-00,16.9,6.7,1000.4,12.2,
02-Aug-00,15.8,4.9,999.1,11.6,
03-Aug-00,15.15,0.2,1008.4,11.7,
04-Aug-00,14.95,0,1015,9.1,
05-Aug-00,15.85,0.6,1015.3,8.7,
06-Aug-00,19.35,0,1016.5,10.7,
07-Aug-00,17.85,4.4,1014.8,7.4,
08-Aug-00,17.95,0.3,1009.8,7.1,
09-Aug-00,18.1,0.8,1004.1,12.8,
10-Aug-00,15.65,0.2,1006.6,8.3,
11-Aug-00,15.9,0,1004,5.6,
12-Aug-00,17.65,0,1000.2,5.7,
13-Aug-00,17.6,0,1000.4,4.5,
14-Aug-00,16.65,5.2,1002.8,7.9,
15-Aug-00,15.55,4.2,1004.3,8.3,
16-Aug-00,15.25,5.8,999.4,9.6,
17-Aug-00,14,5.9,998,9.4,
18-Aug-00,13.1,0.1,999.5,6.4,
19-Aug-00,13.65,1.8,1001.2,5.2,
20-Aug-00,12.65,0.1,1003.1,5.2,
21-Aug-00,12.4,0.1,1003.3,5.5,
22-Aug-00,13.65,0,1009.2,7.8,
23-Aug-00,13.55,0.2,1014,6,
24-Aug-00,14.4,0.2,1014.6,3.8,
25-Aug-00,12.85,11.7,1005.2,7.1,
26-Aug-00,15.2,1.5,997.5,8.4,
27-Aug-00,13.75,5.6,1002.9,6.3,
28-Aug-00,13.75,0.1,1007.2,5.9,
29-Aug-00,12.45,0,1010.3,3.9,
30-Aug-00,12.05,0.2,1006.6,5.2,
31-Aug-00,15.75,2,995.2,13.7,
01-Sep-00,14.65,2,991.1,7.8,
02-Sep-00,13.1,0,1001.9,6.6,
03-Sep-00,12.5,0,1010,4.8,
04-Sep-00,12.85,1.1,1009.8,6.2,
05-Sep-00,16.15,2,1003.7,8.2,
06-Sep-00,14.15,0.8,998.7,13.8,
07-Sep-00,16,0.3,999.7,14.7,
08-Sep-00,14.7,0.2,1006.5,11.2,
09-Sep-00,13.55,8.7,1011.1,5.9,
10-Sep-00,16.15,2.2,1008,5.5,
11-Sep-00,18.4,0,1002,7.6,
12-Sep-00,13.6,0.3,1001.7,9.8,
13-Sep-00,13.65,5,1001.2,6.4,
14-Sep-00,12.9,1.5,1000.3,5.9,
15-Sep-00,12.8,2,1001.2,6.5,
16-Sep-00,12.85,0.1,1004.4,9.2,
17-Sep-00,12.95,9.9,995.5,10.8,
18-Sep-00,10.4,0.5,987.7,9,
19-Sep-00,8.8,0,987.1,4.6,
20-Sep-00,10.7,1.8,989.5,7.8,
21-Sep-00,13.85,8.9,993.2,11.5,
22-Sep-00,13.55,0.2,1000.6,9.4,
23-Sep-00,16.3,0.2,1000.6,14.1,
24-Sep-00,13.15,14.2,1000,6,
25-Sep-00,11.15,2,1002.5,9.2,
26-Sep-00,13.45,5.8,997.7,7,
27-Sep-00,10.9,3.9,991,10.5,
28-Sep-00,10.2,1.6,980.7,9,
29-Sep-00,12,24.7,984.4,4.2,
30-Sep-00,11.6,0,993.6,6.2,
01-Oct-00,10.45,2.4,989.3,10.2,
02-Oct-00,11.25,1.5,992.8,16.5,
03-Oct-00,13.7,2.2,990.8,18.4,
04-Oct-00,10.6,5.1,1000.4,11.7,
05-Oct-00,8.9,0.1,1008.9,11.3,
06-Oct-00,8.4,0,1015.1,7.7,
07-Oct-00,11.45,0.2,1007.7,10.2,
08-Oct-00,9.2,0.4,1002.4,10.4,
09-Oct-00,8.85,13.9,988.4,15.6,
10-Oct-00,6.55,0,968.5,15.5,
11-Oct-00,7.35,2.6,963.8,7.2,
12-Oct-00,9.45,0.5,982,13,
13-Oct-00,8.95,3.2,997.5,9.8,
14-Oct-00,11.3,0,999.4,8.2,
15-Oct-00,9.9,0.1,998.5,7.5,
16-Oct-00,8.6,6.5,997.9,9.9,
17-Oct-00,9.1,5.5,999.6,12.5,
18-Oct-00,10.45,0.1,997.7,11.1,
19-Oct-00,9.25,0,1001.1,10.2,
20-Oct-00,7.3,5.4,998.5,11.6,
21-Oct-00,6.8,0,1008.8,6.6,
22-Oct-00,7.9,0.6,1003.9,11.6,
23-Oct-00,11.35,0.1,999,17.9,
24-Oct-00,10.95,5.9,995,14.1,
25-Oct-00,9.6,2.1,992.2,17.2,
26-Oct-00,9,9.5,998,11.8,
27-Oct-00,10.85,2.5,993.3,12,
28-Oct-00,10.9,3.8,983.2,18.2,
29-Oct-00,6.15,3.5,976.3,17.5,
30-Oct-00,6.3,8.5,965,13.2,
31-Oct-00,7.1,1.1,975.1,16.2,
01-Nov-00,6.65,0,978,16.2,
02-Nov-00,5.25,23.6,973,8.7,
03-Nov-00,5.45,0.5,983.8,13.6,
04-Nov-00,5.7,0.1,993.5,9.4,
05-Nov-00,3.85,41.2,981.7,15.6,
06-Nov-00,6.65,32.6,971.3,25.4,
07-Nov-00,7.05,5.1,978.3,17.1,
08-Nov-00,5.55,0.2,985.8,15,
09-Nov-00,4.8,0,995.4,12.6,
10-Nov-00,4.8,2.1,996.3,8,
11-Nov-00,7.2,0.6,984.7,13.4,
12-Nov-00,6.45,0.3,978.9,16.8,
13-Nov-00,5.35,0.1,985.2,11.5,
14-Nov-00,5.5,0,993.4,11.5,
15-Nov-00,5.05,1.7,991.6,9.4,
16-Nov-00,4.65,0.3,992.2,13.5,
17-Nov-00,5.55,0.8,1000,12,
18-Nov-00,7.65,1.8,992,11.9,
19-Nov-00,6.15,0.3,986.3,14.8,
20-Nov-00,4.2,0.1,984.2,11,
21-Nov-00,2.75,7.5,977.8,5.5,
22-Nov-00,4.1,0.4,977.2,8.9,
23-Nov-00,3.9,0.1,988.1,6.8,
24-Nov-00,5.1,1.4,987.2,8.7,
25-Nov-00,6.25,6.4,969.6,14.9,
26-Nov-00,6.7,0.8,975,19.2,
27-Nov-00,7.65,2.6,989.5,8.8,
28-Nov-00,11.75,4.6,982.9,12.2,
29-Nov-00,8.95,0.8,981.8,19.8,
30-Nov-00,8,5.3,985.8,16.3,
01-Dec-00,9.65,3.1,979.1,12.5,
02-Dec-00,8.5,0.1,987.6,16.8,
03-Dec-00,8.55,1.4,989.5,12.1,
04-Dec-00,11.4,6.5,978.6,16.1,
05-Dec-00,10.65,1.4,978.3,11.8,
06-Dec-00,8.95,0.6,982.2,9.7,
07-Dec-00,8,20.1,977.7,10.2,
08-Dec-00,8,26.6,972.2,18.4,
09-Dec-00,8.05,0.8,979.7,12.8,
10-Dec-00,9.4,3.5,982.3,15.1,
11-Dec-00,9.7,0.3,988.8,10.2,
12-Dec-00,10,8.9,979.5,13.1,
13-Dec-00,5.3,2.4,982.5,17.7,
14-Dec-00,3.7,0.5,995.3,10.2,
15-Dec-00,1.35,0,1001.1,7.5,
16-Dec-00,2.3,2.9,1002.4,8.1,
17-Dec-00,1.6,3.5,999.6,6.4,
18-Dec-00,4.55,0.1,999.2,8,
19-Dec-00,8.05,10.1,998.8,11.4,
20-Dec-00,7.9,14.3,996.8,6,
21-Dec-00,7.2,0,1002.2,8.4,
22-Dec-00,6.55,0,1002.2,7.8,
23-Dec-00,5.3,0,997.5,7.2,
24-Dec-00,5.05,2.8,994.3,16.5,
25-Dec-00,3.3,3.7,993.1,18,
26-Dec-00,1.15,0.2,988.8,10.6,
27-Dec-00,-0.9,0,982.8,10.5,
28-Dec-00,-2,7.2,984.3,6.3,
29-Dec-00,-4.35,0.8,991.7,9.1,
30-Dec-00,-4.45,0.1,999.8,8.2,
31-Dec-00,1.8,4.4,983.7,16.2,
01-Jan-01,7.75,1.5,965.7,10,
02-Jan-01,4.95,1.6,972,9.7,
03-Jan-01,4.45,4.7,977,10.3,
04-Jan-01,3.35,0.1,975.5,6.1,
05-Jan-01,0.45,0.1,977.4,7.1,
06-Jan-01,4.25,0.1,986.2,14.7,
07-Jan-01,3.25,0.1,996.1,16.8,
08-Jan-01,3.1,0.1,1002.5,8.9,
09-Jan-01,1.75,0.9,1002.4,4.5,
10-Jan-01,4.55,0.8,1007.6,13.7,
11-Jan-01,4.7,0.1,1014.7,19.6,
12-Jan-01,3.95,0,1017.6,14.6,
13-Jan-01,1.85,0.1,1021.2,6,
14-Jan-01,1.85,0,1022.2,5.7,
15-Jan-01,1.1,0,1015.3,4.9,
16-Jan-01,-0.85,0,1010.7,3.8,
17-Jan-01,2.4,0,1008.2,6.4,
18-Jan-01,2.35,0,1008.8,3.9,
19-Jan-01,2.35,0,1012.5,2.7,
20-Jan-01,1,0.6,1008.7,9.5,
21-Jan-01,6.55,2.8,996.7,10.4,
22-Jan-01,6.8,7.7,981.1,16.4,
23-Jan-01,8.55,4,964.3,14.9,
24-Jan-01,5,0.5,969,15.3,
25-Jan-01,4.1,0.4,976.7,14,
26-Jan-01,3.3,0,981.2,14.5,
27-Jan-01,2.7,0.2,986.7,10,
28-Jan-01,-0.5,0,998.4,7.6,
29-Jan-01,2.35,4.4,1007,7.8,
30-Jan-01,7.5,0.3,1005.7,8.6,
31-Jan-01,6.9,0.7,1013.6,6.2,
01-Feb-01,7.6,1.4,1012.5,9,
02-Feb-01,6.2,3.4,1000.9,8.7,
03-Feb-01,5.2,0.1,993.2,9.1,
04-Feb-01,4.4,9.3,982.8,7.3,
05-Feb-01,4.55,8.5,973,6.2,
06-Feb-01,8.1,2.2,967.8,22,
07-Feb-01,4.3,2.7,980,8.2,
08-Feb-01,1.95,0,995.7,8.2,
09-Feb-01,2.15,1.8,1006.4,8.8,
10-Feb-01,8.4,4.4,1001.7,18.5,
11-Feb-01,9,0.5,1004.5,15.7,
12-Feb-01,4.6,0.1,1017.2,7.8,
13-Feb-01,4.15,0,1025.7,3.1,
14-Feb-01,3.9,0,1021.2,4.5,
15-Feb-01,4.55,0.1,1022.2,5.9,
16-Feb-01,2.5,0,1028.5,4.7,
17-Feb-01,1.25,0,1032.9,3.5,
18-Feb-01,2.7,0,1030.6,6.5,
19-Feb-01,3.95,0.6,1029.1,7,
20-Feb-01,4.6,0.2,1026.3,8.4,
21-Feb-01,8.2,0.1,1020.8,11.9,
22-Feb-01,7.8,0.8,1013.1,12.9,
23-Feb-01,3.75,0.6,1006,12.2,
24-Feb-01,1.75,0,1007.5,8,
25-Feb-01,2.85,1.2,1002.6,9.6,
26-Feb-01,2.1,0.4,987.5,10.1,
27-Feb-01,-0.25,11,986.6,21.7,
28-Feb-01,-0.2,0.1,993.9,11.6,
01-Mar-01,-1.9,0,993.5,5.2,
02-Mar-01,-2.55,0,991,4,
03-Mar-01,-0.9,0,987.3,4.8,
04-Mar-01,-1,0,989.9,5.7,
05-Mar-01,5.2,0,998.8,10.6,
06-Mar-01,6.85,10.7,991.1,17.6,
07-Mar-01,10.8,0.1,983.8,13.2,
