date,temp,rain,pressure,wind_speed,humidity
09-Feb-08,9.7,0,1015.2,10.7,
10-Feb-08,6.2,0.2,1021.4,6.4,
11-Feb-08,7.65,0,1020,8.1,
12-Feb-08,7.25,0.3,1023.8,5.1,
13-Feb-08,7.35,0,1026.6,3.3,
14-Feb-08,3.05,0,1027.5,4.4,
15-Feb-08,0.9,0,1029.2,2.6,
16-Feb-08,2.55,0,1031.2,3.9,
17-Feb-08,1.25,0,1029.3,3,
18-Feb-08,0.4,0,1022.6,2.8,
19-Feb-08,1.55,0,1013.3,4.7,
20-Feb-08,5.5,0,1008,7.2,
21-Feb-08,8.75,1,1007.2,16.7,
22-Feb-08,8.7,1.1,1010,15.9,
23-Feb-08,9.2,0,1007.8,13.4,
24-Feb-08,6.15,1.1,1005.4,9.5,
25-Feb-08,6.1,1.6,999.3,16,
26-Feb-08,7,0.6,996.7,15.1,
27-Feb-08,5.75,0.1,1007.6,5.9,
28-Feb-08,5.75,0,1010.3,6.3,
29-Feb-08,8.15,5.5,999.9,19.4,
01-Mar-08,8.85,0.3,999.4,16.3,
02-Mar-08,5.3,2.4,1002,12.2,
03-Mar-08,2.45,9.2,1004.4,10.6,
04-Mar-08,4.95,0.1,1020.5,7.8,
05-Mar-08,6.35,0.1,1023.3,9.9,
06-Mar-08,6.9,3,1007.6,13.4,
07-Mar-08,5.7,2.7,997.1,12.5,
08-Mar-08,6.95,6.1,988.6,15.1,
09-Mar-08,4.35,4.9,968.9,13.3,
10-Mar-08,4.85,5.6,959.1,14.9,
11-Mar-08,6.75,4.5,972.8,18.4,
12-Mar-08,6.55,3,987.9,18.8,
13-Mar-08,6.75,0.3,998.8,9.2,
14-Mar-08,5.3,0.3,998.4,7.9,
15-Mar-08,8.65,12.5,992.2,8.4,
16-Mar-08,4.65,1.6,1000.9,9.3,
17-Mar-08,4.5,0,1011.3,7.4,
18-Mar-08,1.95,0,1016.1,3,
19-Mar-08,3.45,0.2,1019.9,4.4,
20-Mar-08,6.75,0.7,1007.6,14.1,
21-Mar-08,5.65,0.7,996.3,16.2,
22-Mar-08,4.1,0,1003.5,11,
23-Mar-08,5.85,0.2,1000.7,11.7,
24-Mar-08,5.05,2.7,998,6.9,
