date,temp,rain,pressure,wind_speed,humidity
01-Jan-00,7.4,0.1,1013.4,20.1,34
02-Jan-00,7.65,0.7,1006,20.2,37
03-Jan-00,5.8,6.8,1002.8,24.1,40
04-Jan-00,4.8,5.8,998.8,25.1,42
05-Jan-00,6.8,6.1,989.7,30.5,41
06-Jan-00,6.55,3.7,994.3,22.2,34
07-Jan-00,7.5,6.5,992.8,32,40
08-Jan-00,5.2,9.4,1001.7,26.7,40
09-Jan-00,4.45,2.2,1016.9,16.4,28
10-Jan-00,7.05,4.2,1016.3,21.5,31
11-Jan-00,6.55,3.5,1015.5,15.2,19
12-Jan-00,4.25,2.1,1010.5,13.2,24
13-Jan-00,4.95,2,1018.3,28.6,43
14-Jan-00,5.15,0.2,1031.9,21.7,36
15-Jan-00,5.15,0,1040,7.5,19
16-Jan-00,7.8,0.6,1041.2,12.5,18
17-Jan-00,7.8,0.4,1040.2,13.1,19
18-Jan-00,7.45,0.6,1038.5,12,17
19-Jan-00,6.9,0,1035.6,8.8,16
20-Jan-00,6.9,0.6,1032.9,11.7,18
21-Jan-00,7.65,0,1030.8,17.4,27
22-Jan-00,7.9,0,1024.9,26,36
23-Jan-00,6.15,0,1026.8,10.6,21
24-Jan-00,5.4,0.6,1025.2,10.5,18
25-Jan-00,5.3,0,1027.2,5.5,11
26-Jan-00,5.9,0,1027.1,10.5,18
27-Jan-00,6.65,1.4,1018.2,18,27
28-Jan-00,8.3,7.2,997.3,25.6,38
29-Jan-00,8.3,8.3,990.3,30.9,45
30-Jan-00,8.75,7.8,999.3,25.7,43
31-Jan-00,8.9,19.1,1005,19.5,28
01-Feb-00,8,4.7,1002.2,21.6,29
02-Feb-00,7.4,2.1,1015.5,23.8,34
03-Feb-00,8.7,0.3,1019.9,18.2,25
04-Feb-00,10.45,4.9,1015.2,19,25
05-Feb-00,9.65,1.5,1009.9,21.6,33
06-Feb-00,8,2.2,995.1,27.8,54
07-Feb-00,6.15,5.9,992.7,30.6,47
08-Feb-00,5,10.9,993.5,30.5,46
09-Feb-00,8.1,0.2,998,31.3,43
10-Feb-00,6.4,6.5,998.1,31.8,45
11-Feb-00,7.25,12.5,1005.8,26.1,37
12-Feb-00,3.65,6.4,1002.8,27.1,40
13-Feb-00,5.75,0.4,1012.2,15.6,30
14-Feb-00,6.55,5.4,1007.3,22.2,34
15-Feb-00,3.5,10.1,1002.2,21.5,37
16-Feb-00,3.3,7.2,997.4,20.2,35
